epoch,g_loss,adv_loss,l1_loss,d_loss,val_loss
1,31.9208,1.53,0.3039,0.348,0.2691
2,28.3513,2.39,0.2596,0.128,0.2183
3,24.1894,3.2917,0.209,0.0544,0.1853
4,19.6489,3.8723,0.1578,0.0454,0.1532
5,14.7785,3.4035,0.1138,0.0583,0.1202
6,10.5212,3.0102,0.0751,0.1467,0.0711
7,7.0255,2.3082,0.0472,0.2285,0.0679
8,5.8633,2.1406,0.0372,0.2415,0.0583
9,6.0528,2.2604,0.0379,0.2799,0.0451
10,5.7623,2.4435,0.0332,0.1656,0.0465
11,5.9696,2.7575,0.0321,0.1262,0.0418
12,6.0657,3.0348,0.0303,0.1044,0.038
13,6.4612,3.3413,0.0312,0.1039,0.0361
14,6.2097,3.4756,0.0273,0.0684,0.0453
15,6.8244,3.8058,0.0302,0.0754,0.0358
16,6.5525,3.8862,0.0267,0.0528,0.0306
17,7.0818,4.1779,0.029,0.0509,0.0329
18,7.2133,4.2735,0.0294,0.069,0.0307
19,7.4281,4.5975,0.0283,0.0466,0.0282
20,7.1629,4.6794,0.0248,0.0347,0.0274
