epoch,g_loss,d_loss,val_loss
1,8.7408,0.3543,0.0411
2,4.8935,0.3779,0.0158
3,5.38,0.2721,0.0121
4,5.7317,0.1946,0.0286
5,5.9003,0.1519,0.0209
6,6.4714,0.1064,0.018
7,6.9049,0.0856,0.0339
8,6.9192,0.0789,0.0221
9,7.2769,0.0487,0.0215
10,8.121,0.0417,0.0155
11,8.4101,0.0361,0.0222
12,8.7535,0.0241,0.0245
13,8.9507,0.028,0.0175
14,9.2554,0.0227,0.0112
15,10.1128,0.0184,0.0208
16,10.4853,0.0174,0.0202
17,10.6873,0.0187,0.013
18,10.7387,0.0195,0.0138
19,11.3679,0.0144,0.0156
20,11.5605,0.0044,0.0125
21,11.8342,0.0138,0.0125
22,11.9326,0.0294,0.0157
23,11.8807,0.0234,0.0225
24,12.2293,0.0012,0.0186
25,12.34,0.0193,0.0098
26,12.7672,0.0687,0.017
27,12.757,0.047,0.0119
28,12.7524,0.0656,0.0241
29,12.8595,0.0679,0.0077
30,13.3952,0.0351,0.0075
31,13.58,0.1617,0.0101
32,13.418,0.1016,0.0125
33,12.9452,0.1762,0.0113
34,13.5214,0.0252,0.0213
35,13.8655,0.0391,0.0184
36,13.645,0.1157,0.0118
37,13.8979,0.1443,0.0171
38,14.1932,0.0665,0.012
39,14.1554,0.1291,0.013
40,14.2741,0.0523,0.0125
41,14.3975,0.1085,0.008
42,14.1047,0.3584,0.0102
43,13.8227,0.2221,0.0077
44,14.3591,0.029,0.0147
45,15.0798,0.0886,0.0108
46,14.9774,0.1253,0.0097
47,14.9683,0.2646,0.0366
48,14.784,0.1412,0.0266
49,15.3028,0.0527,0.0092
50,14.1079,0.399,0.0067
51,13.9573,0.3519,0.0069
52,14.7061,0.2469,0.011
53,14.508,0.4934,0.0083
54,14.7626,0.1264,0.0088
55,15.1737,0.0894,0.0061
56,15.6521,0.0717,0.0215
57,15.7509,0.0675,0.0278
58,15.2806,0.2213,0.0073
59,15.5037,0.0986,0.0139
60,15.9603,0.0523,0.0082
61,14.5695,0.597,0.005
62,13.4934,0.502,0.0297
63,15.7031,0.0907,0.0068
64,15.6883,0.1056,0.0062
65,15.6509,0.2501,0.0111
66,15.7371,0.1458,0.0095
67,15.811,0.1743,0.0143
68,15.1743,0.3238,0.014
69,16.0988,0.0622,0.0058
70,15.6543,0.2679,0.0093
71,16.2731,0.3051,0.01
72,16.1794,0.053,0.0143
73,14.2175,0.7094,0.0054
74,15.3512,0.2928,0.0119
75,16.1315,0.2007,0.0053
76,16.2736,0.2139,0.0081
77,16.7938,0.2266,0.0077
78,16.4205,0.2016,0.0073
79,17.2908,0.0785,0.0059
80,16.3992,0.2713,0.0139
81,15.9026,0.8418,0.0119
82,16.4704,0.1332,0.0138
83,16.4545,0.0771,0.0124
84,17.181,0.1302,0.0119
85,16.3082,0.6288,0.0138
86,16.5179,0.2223,0.0188
87,17.1494,0.2364,0.0054
88,17.6871,0.2794,0.0087
89,16.6356,0.5075,0.0053
90,16.5153,0.1189,0.005
91,16.9752,0.2994,0.0054
92,17.3775,0.1004,0.0094
93,17.4286,0.0495,0.0079
94,17.2164,0.5601,0.0073
95,16.193,0.3505,0.0077
96,16.433,0.2245,0.0052
97,16.7125,0.0455,0.0055
98,16.9177,0.2874,0.008
99,17.3955,0.1123,0.0055
100,17.87,0.2326,0.0053
