tract_id,county_fips,n_units,MBT,pct_share,n_buildings,avg_sq_ft,TIV_per_unit,TIV_total,peak_gust_mph
12071080203,12071,837,W1,0.52,435,1800.0,198000.0,86130000.0,152.7
12071080203,12071,837,MH,0.3,251,900.0,49500.0,12424500.0,152.7
12071080203,12071,837,M1,0.1,84,1600.0,192000.0,16128000.0,152.7
12071080203,12071,837,C1,0.05,42,2000.0,280000.0,11760000.0,152.7
12071080203,12071,837,S1,0.03,25,2200.0,341000.0,8525000.0,152.7
12071040110,12071,583,W1,0.52,303,1800.0,198000.0,59994000.0,150.2
12071040110,12071,583,MH,0.3,175,900.0,49500.0,8662500.0,150.2
12071040110,12071,583,M1,0.1,58,1600.0,192000.0,11136000.0,150.2
12071040110,12071,583,C1,0.05,29,2000.0,280000.0,8120000.0,150.2
12071040110,12071,583,S1,0.03,17,2200.0,341000.0,5797000.0,150.2
12071040124,12071,557,W1,0.52,290,1800.0,198000.0,57420000.0,144.8
12071040124,12071,557,MH,0.3,167,900.0,49500.0,8266500.0,144.8
12071040124,12071,557,M1,0.1,56,1600.0,192000.0,10752000.0,144.8
12071040124,12071,557,C1,0.05,28,2000.0,280000.0,7840000.0,144.8
12071040124,12071,557,S1,0.03,17,2200.0,341000.0,5797000.0,144.8
12071040311,12071,528,W1,0.52,275,1800.0,198000.0,54450000.0,139.8
12071040311,12071,528,MH,0.3,158,900.0,49500.0,7821000.0,139.8
12071040311,12071,528,M1,0.1,53,1600.0,192000.0,10176000.0,139.8
12071040311,12071,528,C1,0.05,26,2000.0,280000.0,7280000.0,139.8
12071040311,12071,528,S1,0.03,16,2200.0,341000.0,5456000.0,139.8
12071040205,12071,1296,W1,0.52,674,1800.0,198000.0,133452000.0,143.5
12071040205,12071,1296,MH,0.3,389,900.0,49500.0,19255500.0,143.5
12071040205,12071,1296,M1,0.1,130,1600.0,192000.0,24960000.0,143.5
12071040205,12071,1296,C1,0.05,65,2000.0,280000.0,18200000.0,143.5
