tract_id,total_buildings,total_TIV,peak_gust_mph,TIV_millions
12071000303,631,101834500.0,152.2,101.83
12071000304,354,57190000.0,151.2,57.19
12071000305,142,22792500.0,152.0,22.79
12071000306,134,21660000.0,151.9,21.66
12071000401,373,60131000.0,151.4,60.13
12071000402,287,46316000.0,151.4,46.32
12071000502,229,36860500.0,151.8,36.86
12071000503,243,39114500.0,151.9,39.11
12071000504,558,90075500.0,151.9,90.08
12071000600,372,59933000.0,151.8,59.93
12071000700,171,27635500.0,151.1,27.64
12071000800,513,82676000.0,149.4,82.68
12071000900,930,149926500.0,147.0,149.93
12071001001,203,32693500.0,150.0,32.69
12071001002,165,26520000.0,149.7,26.52
12071001101,211,34056500.0,151.1,34.06
12071001103,103,16569500.0,151.0,16.57
12071001104,105,16817000.0,151.0,16.82
12071001203,399,64298000.0,151.5,64.3
12071001204,697,112422500.0,151.2,112.42
12071001205,166,26712000.0,151.2,26.71
12071001206,406,65381000.0,149.5,65.38
12071001207,423,68223500.0,150.2,68.22
12071001208,663,106892500.0,150.8,106.89
12071001209,209,33578500.0,150.7,33.58
12071001300,475,76645000.0,150.9,76.64
12071001401,223,35975500.0,150.2,35.98
12071001402,206,33133000.0,150.2,33.13
12071001501,188,30390000.0,149.2,30.39
12071001502,153,24744000.0,150.3,24.74
12071001601,263,42396500.0,150.6,42.4
12071001602,418,67530500.0,150.1,67.53
12071001701,258,41703500.0,149.2,41.7
12071001705,248,39801500.0,149.6,39.8
12071001706,243,39114500.0,148.2,39.11
12071001708,177,28520500.0,150.3,28.52
12071001709,318,51406500.0,150.2,51.41
12071001710,122,19653500.0,149.7,19.65
12071001711,167,26910000.0,149.6,26.91
12071001801,462,74446500.0,149.2,74.45
12071001802,323,52099500.0,148.2,52.1
12071001903,572,92181000.0,147.5,92.18
12071001908,1315,212058000.0,148.9,212.06
12071001910,100,16124000.0,148.5,16.12
12071001911,994,160355000.0,149.7,160.35
12071001912,193,31165000.0,148.5,31.16
12071001913,154,24942000.0,148.2,24.94
12071001915,1440,232157000.0,152.2,232.16
12071001916,277,44644500.0,148.2,44.64
12071001917,294,47487000.0,147.3,47.49
12071001918,156,25332000.0,149.7,25.33
12071001919,187,30192000.0,148.8,30.19
12071001920,484,78124500.0,149.2,78.12
12071001921,2073,334239000.0,147.9,334.24
12071001922,212,34106000.0,149.2,34.11
12071001923,395,63803000.0,151.2,63.8
12071010104,270,43561500.0,156.2,43.56
12071010106,587,94688000.0,155.5,94.69
12071010107,411,66304500.0,154.3,66.3
12071010108,791,127661500.0,155.4,127.66
12071010109,753,121488000.0,155.8,121.49
12071010110,3946,636142000.0,156.0,636.14
12071010111,921,148596000.0,155.3,148.6
12071010112,270,43561500.0,146.3,43.56
12071010113,5263,848596500.0,153.0,848.6
12071010203,979,157760000.0,148.2,157.76
12071010205,661,106645000.0,152.8,106.64
12071010206,879,141636000.0,152.2,141.64
12071010207,803,129437500.0,149.5,129.44
12071010208,589,94935500.0,147.7,94.94
12071010209,191,30917500.0,143.7,30.92
12071010210,487,78564000.0,144.5,78.56
12071010302,511,82428500.0,146.0,82.43
12071010303,378,60966500.0,148.7,60.97
12071010305,352,56942500.0,146.2,56.94
12071010306,467,75282000.0,151.0,75.28
12071010307,461,74397000.0,148.7,74.4
12071010308,344,55288000.0,146.2,55.29
12071010309,518,83654500.0,146.2,83.65
12071010404,709,114198500.0,152.9,114.2
12071010411,320,51654000.0,152.6,51.65
12071010412,295,47679000.0,152.6,47.68
12071010413,306,49257000.0,151.0,49.26
12071010414,197,31802500.0,150.9,31.8
12071010415,3139,506067000.0,154.6,506.07
12071010416,307,49455000.0,154.7,49.46
12071010417,278,44842500.0,153.4,44.84
12071010418,338,54545500.0,153.8,54.55
12071010419,463,74644500.0,154.4,74.64
12071010420,863,139140500.0,155.3,139.14
12071010421,511,82428500.0,154.3,82.43
12071010422,507,81703000.0,154.9,81.7
12071010423,2011,324288500.0,155.1,324.29
12071010501,225,36223000.0,150.9,36.22
12071010503,220,35530000.0,150.7,35.53
12071010504,106,17009000.0,150.7,17.01
12071010601,280,45090000.0,148.6,45.09
12071010602,193,31165000.0,150.3,31.16
12071010701,648,104297500.0,146.1,104.3
12071010702,628,101307000.0,145.9,101.31
12071010801,460,74199000.0,151.8,74.2
12071010802,322,51901500.0,150.3,51.9
12071010803,575,92769000.0,149.8,92.77
12071020102,527,84985000.0,149.6,84.98
12071020103,658,106199500.0,146.6,106.2
12071020104,579,93264000.0,147.6,93.26
12071020201,1580,254702000.0,152.0,254.7
12071020202,2625,423199000.0,152.6,423.2
12071020301,402,64743500.0,151.4,64.74
12071020302,295,47679000.0,149.6,47.68
12071020400,1040,167661000.0,152.4,167.66
12071020501,227,36613000.0,149.2,36.61
12071020502,429,69108500.0,151.3,69.11
12071020600,472,76057000.0,145.7,76.06
12071020700,511,82428500.0,145.7,82.43
12071020801,213,34304000.0,145.5,34.3
12071020802,323,52099500.0,145.5,52.1
12071030100,5561,896721000.0,146.5,896.72
12071030201,707,113951000.0,146.5,113.95
12071030202,782,125957500.0,148.5,125.96
12071030205,973,156875000.0,141.9,156.88
12071030300,6950,1120587500.0,144.4,1120.59
12071040108,493,79537000.0,148.4,79.54
12071040109,340,54793000.0,142.7,54.79
12071040110,582,93709500.0,150.2,93.71
12071040111,789,127183500.0,145.7,127.18
12071040113,1243,200354500.0,146.0,200.35
12071040117,780,125710000.0,149.3,125.71
12071040118,307,49455000.0,135.5,49.46
12071040120,261,42149000.0,138.3,42.15
12071040121,363,58520500.0,144.8,58.52
12071040122,361,58273000.0,142.7,58.27
12071040123,3471,559727500.0,148.0,559.73
12071040124,558,90075500.0,144.8,90.08
12071040125,287,46316000.0,143.2,46.32
12071040126,287,46316000.0,143.1,46.32
12071040127,899,144918000.0,143.0,144.92
12071040128,569,91653500.0,148.0,91.65
12071040129,313,50428000.0,147.2,50.43
12071040130,363,58520500.0,145.3,58.52
12071040131,503,81065500.0,146.2,81.07
12071040132,269,43281500.0,149.6,43.28
12071040133,310,49982500.0,146.2,49.98
12071040134,129,20736500.0,149.6,20.74
12071040135,648,104297500.0,148.8,104.3
12071040136,380,61214000.0,143.2,61.21
12071040137,520,83902000.0,143.2,83.9
12071040138,17303,2789897500.0,136.2,2789.9
12071040139,407,65579000.0,139.3,65.58
12071040205,1297,209166500.0,143.5,209.17
12071040206,1687,272052000.0,141.9,272.05
12071040207,758,122323500.0,139.3,122.32
12071040208,1618,261018500.0,143.9,261.02
12071040209,2128,343167000.0,139.6,343.17
12071040210,1365,220008000.0,142.5,220.01
12071040211,853,137612000.0,140.8,137.61
12071040212,1173,189123000.0,141.9,189.12
12071040301,763,123016500.0,142.9,123.02
12071040302,530,85430500.0,142.4,85.43
12071040303,785,126546000.0,141.0,126.55
12071040304,470,75809500.0,142.0,75.81
12071040305,227,36613000.0,141.0,36.61
12071040308,1367,220398000.0,131.8,220.4
12071040310,742,119536500.0,138.4,119.54
12071040311,528,85183000.0,139.8,85.18
12071040312,548,88173500.0,135.3,88.17
12071040313,325,52347000.0,136.7,52.35
12071040314,1042,167908500.0,134.9,167.91
12071040315,554,89438000.0,138.4,89.44
12071040316,298,48124500.0,139.6,48.12
12071050103,353,56992000.0,144.6,56.99
12071050104,1340,216033000.0,144.3,216.03
12071050105,647,104248000.0,148.5,104.25
12071050106,972,156677000.0,147.3,156.68
12071050204,215,34694000.0,142.9,34.69
12071050205,282,45337500.0,146.1,45.34
12071050206,139,22347000.0,144.6,22.35
12071050207,248,39801500.0,143.0,39.8
12071050208,303,48817500.0,144.6,48.82
12071050210,288,46514000.0,139.4,46.51
12071050211,163,26272500.0,139.4,26.27
12071050212,199,32050000.0,143.0,32.05
12071050213,279,44892000.0,141.2,44.89
12071050305,1118,180398500.0,132.9,180.4
12071050306,400,64496000.0,137.5,64.5
12071050311,1112,179222000.0,133.7,179.22
12071050312,12518,2018534500.0,125.5,2018.53
12071050315,337,54347500.0,133.6,54.35
12071050316,599,96546000.0,135.5,96.55
12071050317,333,53710000.0,131.2,53.71
12071050318,906,146001000.0,131.6,146.0
12071050319,1191,192157500.0,141.0,192.16
12071050320,485,78174000.0,139.3,78.17
12071050321,507,81703000.0,136.8,81.7
12071050322,422,68025500.0,135.2,68.03
12071050323,173,27883000.0,114.7,27.88
12071050324,537,86595500.0,119.7,86.6
12071050325,450,72588500.0,116.2,72.59
12071050401,340,54793000.0,127.2,54.79
12071050402,334,53908000.0,127.6,53.91
12071050501,205,32941000.0,125.4,32.94
12071050502,587,94688000.0,123.3,94.69
12071050601,378,60966500.0,128.3,60.97
12071050603,238,38421500.0,129.0,38.42
12071050604,257,41505500.0,126.7,41.51
12071060101,191,30917500.0,148.4,30.92
12071060102,500,80620000.0,148.4,80.62
12071060201,262,42198500.0,145.0,42.2
12071060202,246,39554000.0,145.0,39.55
12071060203,407,65579000.0,145.0,65.58
12071060300,1503,242305500.0,138.4,242.31
12071070101,6613,1066240000.0,127.5,1066.24
12071070102,3657,589721500.0,144.5,589.72
12071070201,2634,424760000.0,152.8,424.76
12071070202,8848,1426465500.0,141.8,1426.47
12071080100,7395,1192483000.0,136.7,1192.48
12071080202,1054,170058000.0,152.4,170.06
12071080203,837,134967500.0,152.7,134.97
12071080204,5339,860795000.0,149.9,860.8
12071080300,363,58520500.0,151.2,58.52
12071090100,2115,341050000.0,126.6,341.05
12071980000,2054,331298000.0,143.1,331.3
12071990000,105482,17007785500.0,143.5,17007.79
