tract_id,total_TIV,expected_loss,n_buildings,wind_mph,bldgs_DS0,bldgs_DS1,bldgs_DS2,bldgs_DS3,bldgs_DS4,MDR,loss_ratio,TIV_M,loss_M
12071000305,22792500.0,14206816.35,142,152.0,3.0,11.0,20.0,28.0,81.0,0.6233110167818361,0.6233110167818361,22.79,14.21
12071000306,21660000.0,13445836.8,134,151.9,3.0,9.0,19.0,27.0,76.0,0.6207680886426593,0.6207680886426593,21.66,13.45
12071000401,60131000.0,37166262.5,373,151.4,9.0,26.0,52.0,76.0,210.0,0.6180882157289918,0.6180882157289918,60.13,37.17
12071000402,46316000.0,28614867.200000003,287,151.4,6.0,19.0,40.0,58.0,162.0,0.617818188099145,0.617818188099145,46.32,28.61
12071000502,36860500.0,22895339.05,229,151.8,5.0,16.0,33.0,47.0,129.0,0.6211347933424668,0.6211347933424668,36.86,22.9
12071000503,39114500.0,24339125.45,243,151.9,6.0,18.0,35.0,49.0,138.0,0.6222532679696787,0.6222532679696787,39.11,24.34
12071000504,90075500.0,55930502.75,558,151.9,14.0,38.0,79.0,112.0,315.0,0.6209291399992228,0.6209291399992228,90.08,55.93
12071000600,59933000.0,37189184.6,372,151.8,9.0,26.0,52.0,75.0,210.0,0.620512649124856,0.620512649124856,59.93,37.19
12071000700,27635500.0,17012105.7,171,151.1,4.0,12.0,24.0,34.0,95.0,0.6155888512963398,0.6155888512963398,27.64,17.01
12071001001,32693500.0,19943047.1,203,150.0,5.0,14.0,28.0,42.0,112.0,0.6100003701041492,0.6100003701041492,32.69,19.94
12071001002,26520000.0,16132119.3,165,149.7,5.0,12.0,24.0,34.0,91.0,0.6083001244343892,0.6083001244343892,26.52,16.13
12071001101,34056500.0,20984349.9,211,151.1,5.0,14.0,29.0,43.0,119.0,0.6161628440973088,0.6161628440973088,34.06,20.98
12071001103,16569500.0,10222796.65,103,151.0,1.0,7.0,15.0,21.0,57.0,0.6169647032197713,0.6169647032197713,16.57,10.22
12071001104,16817000.0,10392299.5,105,151.0,1.0,7.0,15.0,21.0,59.0,0.6179639353035619,0.6179639353035619,16.82,10.39
12071001203,64298000.0,39781216.6,399,151.5,10.0,29.0,56.0,81.0,225.0,0.6187006843136645,0.6187006843136645,64.3,39.78
12071001204,112422500.0,69326010.9,697,151.2,16.0,49.0,99.0,141.0,390.0,0.6166560154773288,0.6166560154773288,112.42,69.33
12071001205,26712000.0,16488747.6,166,151.2,4.0,12.0,24.0,33.0,93.0,0.6172786612758311,0.6172786612758311,26.71,16.49
12071001206,65381000.0,39654772.9,406,149.5,11.0,30.0,59.0,83.0,224.0,0.6065182988941741,0.6065182988941741,65.38,39.65
12071001207,68223500.0,41646200.85,423,150.2,11.0,30.0,60.0,85.0,234.0,0.6104377648464239,0.6104377648464239,68.22,41.65
12071001208,106892500.0,65683246.75,663,150.8,16.0,47.0,95.0,134.0,370.0,0.6144794700282995,0.6144794700282995,106.89,65.68
12071001209,33578500.0,20657832.0,209,150.7,5.0,14.0,28.0,43.0,117.0,0.6152100897895975,0.6152100897895975,33.58,20.66
12071001300,76645000.0,47127645.1,475,150.9,11.0,34.0,67.0,97.0,266.0,0.6148821854002218,0.6148821854002218,76.64,47.13
12071001401,35975500.0,21957112.65,223,150.2,6.0,16.0,33.0,46.0,124.0,0.6103351628191408,0.6103351628191408,35.98,21.96
12071001402,33133000.0,20255933.7,206,150.2,5.0,14.0,28.0,42.0,115.0,0.61135223795008,0.61135223795008,33.13,20.26
12071001501,30390000.0,18352743.6,188,149.2,5.0,13.0,27.0,38.0,102.0,0.6039073247778876,0.6039073247778876,30.39,18.35
12071001502,24744000.0,15076972.2,153,150.3,5.0,11.0,22.0,31.0,85.0,0.6093183074684771,0.6093183074684771,24.74,15.08
12071001601,42396500.0,26000261.4,263,150.6,6.0,19.0,38.0,53.0,146.0,0.6132643354993926,0.6132643354993926,42.4,26.0
12071001602,67530500.0,41142915.25,418,150.1,11.0,30.0,60.0,85.0,232.0,0.6092493799098185,0.6092493799098185,67.53,41.14
12071001701,41703500.0,25164036.0,258,149.2,6.0,19.0,38.0,52.0,141.0,0.6034034553454746,0.6034034553454746,41.7,25.16
12071001705,39801500.0,24209393.35,248,149.6,6.0,18.0,36.0,51.0,137.0,0.6082532907051241,0.6082532907051241,39.8,24.21
12071001706,39114500.0,23419445.05,243,148.2,6.0,19.0,37.0,51.0,132.0,0.5987407495941403,0.5987407495941403,39.11,23.42
12071001708,28520500.0,17440241.05,177,150.3,5.0,12.0,26.0,35.0,97.0,0.611498432706299,0.611498432706299,28.52,17.44
12071001709,51406500.0,31338683.25,318,150.2,9.0,24.0,45.0,65.0,177.0,0.6096249161098305,0.6096249161098305,51.41,31.34
12071001710,19653500.0,11923721.7,122,149.7,3.0,9.0,17.0,24.0,67.0,0.6066971124736052,0.6066971124736052,19.65,11.92
12071001711,26910000.0,16344884.7,167,149.6,5.0,12.0,24.0,34.0,92.0,0.6073907357859532,0.6073907357859532,26.91,16.34
12071001801,74446500.0,44981418.0,462,149.2,11.0,35.0,67.0,95.0,254.0,0.6042113195381918,0.6042113195381918,74.45,44.98
12071001802,52099500.0,31135741.95,323,148.2,9.0,25.0,47.0,66.0,175.0,0.5976207439610745,0.5976207439610745,52.1,31.14
12071001908,212058000.0,127716633.0,1315,148.9,36.0,98.0,192.0,270.0,718.0,0.6022721755368814,0.6022721755368814,212.06,127.72
12071001910,16124000.0,9669689.0,100,148.5,2.0,7.0,15.0,21.0,54.0,0.5997078268419747,0.5997078268419747,16.12,9.67
12071001911,160355000.0,97368174.6,994,149.7,25.0,73.0,145.0,202.0,547.0,0.6072038576907486,0.6072038576907486,160.35,97.37
12071001912,31165000.0,18657978.1,193,148.5,5.0,14.0,27.0,39.0,104.0,0.59868371891545,0.59868371891545,31.16,18.66
12071001913,24942000.0,14867764.8,154,148.2,5.0,12.0,22.0,32.0,84.0,0.5960935289872504,0.5960935289872504,24.94,14.87
12071001916,44644500.0,26694880.05,277,148.2,8.0,20.0,41.0,57.0,150.0,0.5979433088062359,0.5979433088062359,44.64,26.69
12071001917,47487000.0,28080995.700000003,294,147.3,9.0,24.0,45.0,61.0,158.0,0.5913406974540402,0.5913406974540402,47.49,28.08
12071001918,25332000.0,15336139.500000002,156,149.7,5.0,11.0,22.0,31.0,85.0,0.6054057910942682,0.6054057910942682,25.33,15.34
12071001919,30192000.0,18150813.0,187,148.8,5.0,13.0,27.0,38.0,101.0,0.6011795508744038,0.6011795508744038,30.19,18.15
12071001920,78124500.0,47183913.0,484,149.2,13.0,35.0,72.0,99.0,266.0,0.6039579517308911,0.6039579517308911,78.12,47.18
12071001921,334239000.0,199127331.9,2073,147.9,58.0,159.0,310.0,429.0,1119.0,0.5957633067954368,0.5957633067954368,334.24,199.13
12071001922,34106000.0,20614681.2,212,149.2,5.0,16.0,31.0,43.0,116.0,0.6044297542954319,0.6044297542954319,34.11,20.61
12071001923,63803000.0,39317608.8,395,151.2,10.0,29.0,56.0,80.0,221.0,0.6162344842718994,0.6162344842718994,63.8,39.32
12071010104,43561500.0,28178453.55,270,156.2,5.0,16.0,35.0,54.0,160.0,0.6468660066802108,0.6468660066802108,43.56,28.18
