tract_id,MBT,n_buildings,TIV_total,wind_mph,p_DS1,p_DS2,p_DS3,p_DS4,prob_DS0,prob_DS1,prob_DS2,prob_DS3,prob_DS4,MDR,expected_loss,bldgs_DS0,bldgs_DS1,bldgs_DS2,bldgs_DS3,bldgs_DS4
12071080203,W1,435,86130000.0,152.7,0.9808,0.9076,0.7544,0.5203,0.0192,0.0732,0.1532,0.2341,0.5203,0.6542,56346246.0,8.0,32.0,67.0,102.0,226.0
12071080203,MH,251,12424500.0,152.7,0.9947,0.9744,0.9069,0.7939,0.0053,0.0202,0.0675,0.113,0.7939,0.8575,10654008.75,1.0,5.0,17.0,28.0,199.0
12071080203,M1,84,16128000.0,152.7,0.9622,0.8515,0.6614,0.4124,0.0378,0.1107,0.1901,0.249,0.4124,0.5581,9001036.8,3.0,9.0,16.0,21.0,35.0
12071080203,C1,42,11760000.0,152.7,0.9076,0.7544,0.5203,0.2662,0.0924,0.1532,0.2341,0.2542,0.2662,0.4197,4935672.0,4.0,6.0,10.0,11.0,11.0
12071080203,S1,25,8525000.0,152.7,0.9076,0.7544,0.5203,0.2662,0.0924,0.1532,0.2341,0.2542,0.2662,0.4197,3577942.5,2.0,4.0,6.0,6.0,7.0
12071040110,W1,303,59994000.0,150.2,0.9784,0.8995,0.7394,0.5015,0.0216,0.0789,0.1602,0.2378,0.5015,0.638,38276172.0,7.0,24.0,49.0,72.0,152.0
12071040110,MH,175,8662500.0,150.2,0.994,0.9718,0.8998,0.7819,0.006,0.0221,0.0721,0.1179,0.7819,0.8485,7350131.25,1.0,4.0,13.0,21.0,137.0
12071040110,M1,58,11136000.0,150.2,0.9581,0.8403,0.644,0.3942,0.0419,0.1178,0.1964,0.2498,0.3942,0.541,6024576.0,2.0,7.0,11.0,14.0,23.0
12071040110,C1,29,8120000.0,150.2,0.8995,0.7394,0.5015,0.2509,0.1005,0.1602,0.2378,0.2506,0.2509,0.4032,3273984.0,3.0,5.0,7.0,7.0,7.0
12071040110,S1,17,5797000.0,150.2,0.8995,0.7394,0.5015,0.2509,0.1005,0.1602,0.2378,0.2506,0.2509,0.4032,2337350.4,2.0,3.0,4.0,4.0,4.0
12071040124,W1,290,57420000.0,144.8,0.9724,0.8799,0.7043,0.4599,0.0276,0.0926,0.1756,0.2444,0.4599,0.6015,34538130.0,8.0,27.0,51.0,71.0,133.0
12071040124,MH,167,8266500.0,144.8,0.9922,0.9654,0.8828,0.754,0.0078,0.0268,0.0827,0.1287,0.754,0.8272,6838048.800000001,1.0,4.0,14.0,21.0,126.0
12071040124,M1,56,10752000.0,144.8,0.9479,0.8136,0.6043,0.3545,0.0521,0.1343,0.2093,0.2497,0.3545,0.503,5408256.0,3.0,8.0,12.0,14.0,20.0
12071040124,C1,28,7840000.0,144.8,0.8799,0.7043,0.4599,0.2188,0.1201,0.1756,0.2444,0.241,0.2188,0.3673,2879632.0,3.0,5.0,7.0,7.0,6.0
12071040124,S1,17,5797000.0,144.8,0.8799,0.7043,0.4599,0.2188,0.1201,0.1756,0.2444,0.241,0.2188,0.3673,2129238.1,2.0,3.0,4.0,4.0,4.0
12071040311,W1,275,54450000.0,139.8,0.9654,0.8586,0.6687,0.4203,0.0346,0.1069,0.1899,0.2484,0.4203,0.5656,30796920.0,10.0,29.0,52.0,68.0,116.0
12071040311,MH,158,7821000.0,139.8,0.9902,0.9581,0.8646,0.7255,0.0098,0.032,0.0936,0.139,0.7255,0.805,6295905.0,2.0,5.0,15.0,22.0,115.0
12071040311,M1,53,10176000.0,139.8,0.9363,0.7855,0.5651,0.3179,0.0637,0.1508,0.2203,0.2472,0.3179,0.4666,4748121.600000001,3.0,8.0,12.0,13.0,17.0
12071040311,C1,26,7280000.0,139.8,0.8586,0.6687,0.4203,0.1904,0.1414,0.1899,0.2484,0.2299,0.1904,0.334,2431520.0,4.0,5.0,6.0,6.0,5.0
12071040311,S1,16,5456000.0,139.8,0.8586,0.6687,0.4203,0.1904,0.1414,0.1899,0.2484,0.2299,0.1904,0.334,1822304.0,2.0,3.0,4.0,4.0,3.0
12071040205,W1,674,133452000.0,143.5,0.9708,0.8746,0.6953,0.4496,0.0292,0.0961,0.1793,0.2457,0.4496,0.5923,79043619.60000001,20.0,65.0,121.0,166.0,303.0
12071040205,MH,389,19255500.0,143.5,0.9917,0.9636,0.8783,0.7469,0.0083,0.0281,0.0854,0.1314,0.7469,0.8217,15822244.35,3.0,11.0,33.0,51.0,291.0
12071040205,M1,130,24960000.0,143.5,0.9451,0.8066,0.5943,0.345,0.0549,0.1385,0.2123,0.2493,0.345,0.4937,12322752.0,7.0,18.0,28.0,32.0,45.0
12071040205,C1,65,18200000.0,143.5,0.8746,0.6953,0.4496,0.2113,0.1254,0.1793,0.2457,0.2384,0.2113,0.3586,6526519.999999999,8.0,12.0,16.0,15.0,14.0
12071040205,S1,39,13299000.0,143.5,0.8746,0.6953,0.4496,0.2113,0.1254,0.1793,0.2457,0.2384,0.2113,0.3586,4769021.399999999,5.0,7.0,10.0,9.0,8.0
12071040312,W1,285,56430000.0,135.3,0.9577,0.8366,0.6342,0.3841,0.0423,0.1211,0.2024,0.25,0.3841,0.5318,30009474.000000004,12.0,35.0,58.0,71.0,109.0
12071040312,MH,165,8167500.0,135.3,0.9878,0.9503,0.8459,0.6976,0.0122,0.0375,0.1043,0.1483,0.6976,0.783,6395152.5,2.0,6.0,17.0,24.0,115.0
12071040312,M1,55,10560000.0,135.3,0.9238,0.7572,0.5281,0.2854,0.0762,0.1666,0.2291,0.2428,0.2854,0.433,4572480.0,4.0,9.0,13.0,13.0,16.0
12071040312,C1,27,7560000.0,135.3,0.8366,0.6342,0.3841,0.166,0.1634,0.2024,0.25,0.2181,0.166,0.3041,2298996.0,4.0,5.0,7.0,6.0,4.0
12071040312,S1,16,5456000.0,135.3,0.8366,0.6342,0.3841,0.166,0.1634,0.2024,0.25,0.2181,0.166,0.3041,1659169.5999999999,3.0,3.0,4.0,3.0,3.0
12071040108,W1,256,50688000.0,148.4,0.9766,0.8933,0.728,0.4878,0.0234,0.0833,0.1653,0.2403,0.4878,0.6261,31735756.8,6.0,21.0,42.0,62.0,125.0
12071040108,MH,148,7326000.0,148.4,0.9935,0.9698,0.8944,0.7729,0.0065,0.0236,0.0754,0.1215,0.7729,0.8417,6166294.2,1.0,3.0,11.0,18.0,114.0
12071040108,M1,49,9408000.0,148.4,0.9549,0.8318,0.631,0.381,0.0451,0.1231,0.2008,0.2501,0.381,0.5285,4972128.0,2.0,6.0,10.0,12.0,19.0
12071040108,C1,25,7000000.0,148.4,0.8933,0.728,0.4878,0.2401,0.1067,0.1653,0.2403,0.2477,0.2401,0.3913,2739100.0,3.0,4.0,6.0,6.0,6.0
12071040108,S1,15,5115000.0,148.4,0.8933,0.728,0.4878,0.2401,0.1067,0.1653,0.2403,0.2477,0.2401,0.3913,2001499.5,2.0,2.0,4.0,4.0,4.0
12071050207,W1,129,25542000.0,143.0,0.9701,0.8726,0.6918,0.4457,0.0299,0.0975,0.1807,0.2461,0.4457,0.5888,15039129.6,4.0,13.0,23.0,32.0,57.0
12071050207,MH,75,3712500.0,143.0,0.9915,0.9629,0.8765,0.7441,0.0085,0.0286,0.0865,0.1324,0.7441,0.8195,3042393.75,1.0,2.0,6.0,10.0,56.0
12071050207,M1,25,4800000.0,143.0,0.944,0.8038,0.5904,0.3413,0.056,0.1401,0.2134,0.2491,0.3413,0.49,2352000.0,1.0,4.0,5.0,6.0,9.0
12071050207,C1,12,3360000.0,143.0,0.8726,0.6918,0.4457,0.2084,0.1274,0.1807,0.2461,0.2373,0.2084,0.3553,1193808.0,2.0,2.0,3.0,3.0,3.0
12071050207,S1,7,2387000.0,143.0,0.8726,0.6918,0.4457,0.2084,0.1274,0.1807,0.2461,0.2373,0.2084,0.3553,848101.1,1.0,1.0,2.0,2.0,1.0
12071050311,W1,578,114444000.0,133.7,0.9545,0.828,0.6213,0.3712,0.0455,0.1265,0.2067,0.2501,0.3712,0.5194,59442213.599999994,26.0,73.0,119.0,145.0,215.0
12071050311,MH,334,16533000.0,133.7,0.9868,0.9471,0.8388,0.6872,0.0132,0.0397,0.1084,0.1516,0.6872,0.7746,12806461.799999999,4.0,13.0,36.0,51.0,230.0
12071050311,M1,111,21312000.0,133.7,0.9188,0.7464,0.5146,0.2739,0.0812,0.1723,0.2319,0.2407,0.2739,0.4209,8970220.8,9.0,19.0,26.0,27.0,30.0
12071050311,C1,56,15680000.0,133.7,0.828,0.6213,0.3712,0.1577,0.172,0.2067,0.2501,0.2135,0.1577,0.2936,4603648.0,10.0,12.0,14.0,12.0,9.0
12071050311,S1,33,11253000.0,133.7,0.828,0.6213,0.3712,0.1577,0.172,0.2067,0.2501,0.2135,0.1577,0.2936,3303880.8000000003,6.0,7.0,8.0,7.0,5.0
